age,gender,ethnicity,hispanic,region,education
42,2,1,1,3,2
60,1,1,1,2,6
57,2,1,1,4,6
47,2,1,2,2,6
32,1,2,1,3,5
29,1,1,1,3,2
48,2,1,1,2,2
65,2,1,1,2,2
26,2,1,1,4,2
53,2,1,1,3,2
37,2,1,1,3,6
41,1,1,5,3,7
28,1,1,1,3,2
23,1,15,2,4,2
24,2,1,1,3,6
42,2,1,1,3,6
48,2,1,1,1,6
66,1,2,1,3,6
50,1,2,1,3,6
32,2,1,1,2,6
45,2,1,1,2,2
38,2,15,2,4,2
20,2,15,2,1,4
56,1,1,1,1,2
37,1,1,1,4,6
51,2,1,1,3,2
73,2,1,1,3,6
24,2,1,1,2,6
27,2,1,1,2,6
43,1,4,1,4,6
22,2,1,1,2,2
68,1,1,1,4,4
29,2,2,1,1,4
33,1,15,2,3,6
50,2,1,1,3,6
62,2,1,1,2,4
68,1,1,1,3,6
29,2,15,2,4,2
58,1,1,2,1,2
47,1,1,1,2,6
28,2,15,1,3,6
31,2,1,1,3,2
32,2,1,1,2,2
42,2,2,2,2,6
60,2,2,1,1,7
46,1,1,1,1,4
30,1,16,2,3,2
45,2,15,2,4,6
30,1,15,1,3,2
56,2,1,1,3,2
62,2,2,1,2,5
44,2,1,1,3,6
49,1,1,1,1,7
30,1,15,1,3,6
27,1,1,1,4,6
48,2,1,1,3,2
44,2,1,1,3,6
71,1,1,1,4,4
63,2,1,1,1,2
71,1,1,1,4,4
29,1,1,2,1,2
61,1,1,1,3,2
22,2,2,1,4,2
37,1,2,1,1,5
47,2,1,1,2,4
29,2,15,2,4,6
36,1,1,1,3,7
31,1,2,1,4,4
57,1,2,1,3,6
55,2,1,1,4,6
58,2,1,1,1,2
19,2,1,1,4,2
37,2,1,1,3,6
29,2,1,1,2,6
49,2,4,1,4,4
63,1,1,1,4,7
29,2,1,1,3,2
43,2,1,1,3,6
58,1,1,2,4,4
36,1,1,1,4,7
61,2,1,1,3,2
35,1,2,1,4,6
29,2,1,1,2,6
21,1,1,1,1,4
35,2,1,1,3,6
19,1,1,1,4,4
28,2,2,1,3,6
25,2,2,1,2,4
25,2,15,2,1,6
51,1,5,1,4,6
24,1,1,1,4,6
23,2,15,2,2,6
45,2,1,1,2,2
50,2,1,1,2,1
24,2,2,1,3,2
21,1,15,2,4,2
25,2,16,1,4,6
19,2,1,1,3,1
22,2,1,1,3,4
39,2,1,1,3,4
20,1,2,5,3,2
20,2,1,1,2,2
38,2,1,1,1,2
44,2,1,1,2,6
76,1,1,1,2,3
58,2,1,1,1,2
72,1,1,1,2,7
39,2,2,1,3,6
28,1,2,1,3,2
69,2,1,1,3,4
24,2,2,1,3,2
61,2,1,1,4,6
32,1,2,1,3,6
40,2,1,1,3,6
39,1,1,1,1,8
37,2,1,1,2,7
40,2,1,1,3,2
26,2,1,1,3,6
72,2,1,1,1,2
65,2,1,1,4,6
43,1,1,1,2,6
40,1,1,1,1,6
43,1,1,1,3,6
33,1,15,2,4,6
80,1,1,1,4,3
59,2,1,1,2,2
20,1,1,1,4,2
35,1,4,1,2,6
19,1,2,1,1,2
43,2,1,1,3,2
61,2,1,1,2,4
63,1,1,1,3,6
67,2,2,1,3,6
34,2,1,1,3,6
27,2,1,1,3,4
18,2,2,15,3,2
67,2,1,1,3,2
72,1,1,1,2,4
27,2,15,1,1,2
52,2,1,1,2,6
57,1,1,1,3,2
20,2,1,1,4,2
70,2,1,1,1,2
42,1,1,1,3,7
58,1,1,1,4,5
32,1,1,1,3,6
34,1,1,1,2,6
66,2,1,1,3,7
48,2,1,1,2,6
39,2,1,1,1,6
63,1,1,1,2,5
65,2,1,1,3,4
52,2,1,1,2,6
24,1,2,1,3,6
34,1,15,1,3,6
57,2,2,1,1,6
53,1,1,1,3,6
